Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,NIL_numeric,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,DBPR_score,OBPR_score,BPR_score,COMP_score,composite_score,score_source,tier
,Baba Miller,PF,SR,6-10,180.0,Madrid,,86.67,,4/16/2026,,76.0,Cincinnati,3.28,3.95,7.23,1700.0,4.33,2.85,7.18,109.3,91.4,17.9,100.0,72.22777222777223,89.80738362760835,72.93577981651376,86.95878675494178,Full Metrics,Tier 1
,Justin Johnson,SF,SO,6-7,185.0,"Miami, FL",,86.60,,4/10/2026,,2150.0,Western Carolina,-0.13,-0.65,-0.78,727.0,-1.28,0.11,-1.18,108.5,113.8,-5.3,29.984779299847794,38.16183816183817,25.521669341894057,37.461773700305805,32.257971183823344,Full Metrics,Tier 1
,RJ Godfrey,SF,SR,6-7,210.0,"Suwanee, GA",,86.40,,4/21/2026,,104.0,Clemson,3.44,3.16,6.59,1410.0,3.51,1.71,5.23,117.5,92.3,25.2,87.97564687975648,73.82617382617383,84.67094703049759,84.09785932721712,83.19567051362813,Full Metrics,Tier 1
,Kaidon Rayfield,PF,FR,6-7,180.0,"Oklahoma City, OK",,86.17,,4/07/2026,,2309.0,UTSA,-1.74,0.54,-1.2,817.0,-1.43,0.85,-0.58,93.4,112.6,-19.2,48.09741248097413,22.077922077922082,22.150882825040128,16.207951070336392,31.61981473742866,Full Metrics,Tier 1
,Kachi Nzeh,PF,JR,6-9,220.0,"Newtown, PA",,85.76,Expected,,,2205.0,Arkansas-Little Rock,-0.38,-0.52,-0.9,1454.0,0.98,-0.4,0.57,96.9,111.3,-14.4,31.963470319634705,35.66433566433567,24.55858747993579,23.547400611620795,30.145299631668074,Full Metrics,Tier 1
,Jaden Smith,C,SO,6-11,200.0,"Chicago, IL",,85.67,,4/08/2026,,2703.0,Saint Joseph's,-2.13,-0.25,-2.38,502.0,-1.79,-0.01,-1.8,98.0,107.1,-9.1,36.073059360730596,18.181818181818187,12.680577849117174,31.65137614678899,26.258500281588567,Full Metrics,Tier 1
,Leland Walker,SG,SR,6-0,155.0,"Indianapolis, IN",,85.35,,4/17/2026,,885.0,Wyoming,2.35,-0.1,2.25,1546.0,2.92,0.51,3.43,110.3,108.4,1.9,38.35616438356165,62.93706293706295,49.83948635634029,48.47094801223241,48.31527096079331,Full Metrics,Tier 1
,Comeh Emuobor,SF,JR,6-5,190.0,"Raleigh, NC",,85.30,,4/07/2026,,2880.0,New Hampshire,-1.61,-1.73,-3.33,839.0,-3.37,-1.37,-4.74,96.3,116.6,-20.3,13.546423135464234,23.376623376623378,5.056179775280896,14.525993883792047,14.452860135966525,Full Metrics,Tier 1
,Alden Applewhite,SF,SR,6-7,210.0,"Chandler, AZ",,85.10,,4/21/2026,,1135.0,Georgia Southern,2.15,-0.63,1.52,1984.0,2.39,-0.52,1.87,107.9,112.6,-4.7,30.28919330289194,60.939060939060944,43.98073836276083,38.37920489296636,41.903470962419135,Full Metrics,Tier 1
,R'Chaun King,PF,SO,6-6,210.0,"Memphis, TN",,85.05,,4/17/2026,,2645.0,Alabama State,-1.15,-1.01,-2.16,631.0,0.08,-1.04,-0.97,96.8,112.2,-15.4,24.505327245053273,27.972027972027977,14.446227929373993,22.01834862385321,22.987135770481085,Full Metrics,Tier 1
